"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"Quebrachos","Santiago del Estero","Departamentos por encima del promedio nacional",6,"19279.509999999998",350392.47,107
"Esquina","Corrientes","Departamentos por encima del promedio nacional",8,"26486.119999999999",344474.69,108
"Tapenagá","Chaco","Departamentos por encima del promedio nacional",6,"32400.889999999999",509894.92,109
"Quitilipi","Chaco","Departamentos dentro del promedio nacional",0,"553.19000000000005",130792.25,110
"Presidencia de la Plaza","Chaco","Departamentos dentro del promedio nacional",0,"110.17",178671.36,111
"Pergamino","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"3913.3400000000001",291705.1,112
"Sargento Cabral","Chaco","Departamentos por encima del promedio nacional",6,"5937.8900000000003",101200.85,113
"Independencia","Chaco","Departamentos dentro del promedio nacional",1,"1547.4400000000001",186560.73,114
"Mayor Luis J. Fontana","Chaco","Departamentos dentro del promedio nacional",2,"8490.8299999999999",356504.73,115
"Fray Justo Santa María de Oro","Chaco","Departamentos dentro del promedio nacional",0,"295.58999999999997",212382.69,116
"General Belgrano","La Rioja","Departamentos dentro del promedio nacional",0,"0.81999999999999995",255343.28,117
"Copo","Santiago del Estero","Departamentos dentro del promedio nacional",0,"3720.6900000000001",1259397.07,118
"Río Hondo","Santiago del Estero","Departamentos dentro del promedio nacional",5,"11148.91",203779.1,119
"Capital","La Rioja","Departamentos dentro del promedio nacional",2,"24323.220000000001",1360963.46,120
"Río Seco","Cordoba","Departamentos dentro del promedio nacional",0,"2403.02",706504,121
"Avellaneda","Rio Negro","Departamentos dentro del promedio nacional",4,"69506.899999999994",1784008.47,122
"General Roca","Rio Negro","Departamentos dentro del promedio nacional",2,"36539.110000000001",1511976.98,123
"Los Lagos","Neuquen","Departamentos por encima del promedio nacional",7,"23732.150000000001",355910.13,124
"Lácar","Neuquen","Departamentos con alto nivel de extranjerización",54,"257346.01999999999",475095.11,125
"Confluencia","Neuquen","Departamentos por encima del promedio nacional",6,"36020.889999999999",644602.49,126
"Picunches","Neuquen","Departamentos dentro del promedio nacional",3,"19546.310000000001",594925.24,127
"Añelo","Neuquen","Departamentos dentro del promedio nacional",1,"8383.6299999999992",1200184.31,128
"Pehuenches","Neuquen","Departamentos dentro del promedio nacional",0,"11.31",830744.99,129
"Minas","Neuquen","Departamentos dentro del promedio nacional",0,"84.120000000000005",596740.45,130
"Chos Malal","Neuquen","Departamentos dentro del promedio nacional",0,"",454562.57,131
"Lago Buenos Aires","Santa Cruz","Departamentos por encima del promedio nacional",6,"176362.67999999999",2765444.22,132
"Comuna 2","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,133
"Comuna 8","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,134
"Sobremonte","Cordoba","Departamentos dentro del promedio nacional",1,"3199.79",324031.87,135
"Río Grande","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Departamentos dentro del promedio nacional",3,"16817.369999999999",637142,136
"Comuna 13","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,137
"Banda","Santiago del Estero","Departamentos dentro del promedio nacional",2,"8267.6499999999996",358883.53,138
"Sarmiento","Santiago del Estero","Departamentos dentro del promedio nacional",2,"2874.5",154775.05,139
"Deseado","Santa Cruz","Departamentos dentro del promedio nacional",4,"222784.20000000001",6362156.89,140
"Belgrano","Santiago del Estero","Departamentos con alto nivel de extranjerización",15,"49214.18",331057.63,141
"Aguirre","Santiago del Estero","Departamentos con alto nivel de extranjerización",15,"54866.459999999999",368596.28,142
"Maipú","Chaco","Departamentos dentro del promedio nacional",0,"1000.33",275657.24,143
"Guasayán","Santiago del Estero","Departamentos dentro del promedio nacional",1,"2236.1300000000001",258354.9,144
"Capital","Cordoba","Sin datos",NA,NA,NA,145
"Río Chico","Santa Cruz","Departamentos dentro del promedio nacional",3,"98500.0",3287029.81,146
